Group,X,Y
"Group 1",8.00061134,16.15330251
"Group 1",11.14527247,14.79889370
"Group 1",-0.20137893,11.98749416
"Group 1",10.30003305,10.29340058
"Group 1",7.95419505,6.82536852
"Group 1",5.21811188,3.07638528
"Group 1",5.16354688,11.73550469
"Group 1",5.91988585,4.08163454
"Group 1",10.12426164,9.69847896
"Group 2",-1.66414472,1.26482181
